"ID";"Title";"Description"
150;"Родословная";"официальный документ, выдаваемый владельцу щенка на основе акта о вязке и родословных его родителей. В родословную вносится дата рождения, кличка, порода, пол, окрас и другие особенности щенка, аффиксы, обозначающие клуб или питомник, а также сведения об отце, матери и других предках собаки с указанием их кличек, питомника или владельца, дипломов, оценок на экстерьерном и племенном ринге."
151;"РОЛС";"(Российское общество любительского собаководства) - национальная федерация."
152;"РФСС";"(Российская федерация служебного собаководства) - национальная федерация."
153;"Рысь";"аллюр средней скорости. Различают рысь бросками, ускоренную и низкую, стелющуюся. В первом случае одновременно выносятся две ноги по диагонали (правая передняя и левая задняя - левая передняя и правая задняя); во втором - несколько раньше начинает подаваться задняя нога; в третьем - сначала выносится передняя нога, а односторонняя задняя становится точно в ее след."
154;"Свора";"1. Две или четыре борзые, приученные к совместной работе. 2. Длинный ремень без швов и узлов, на котором водят борзых (всю свору), пропустив его через кольца их ошейников. Собак, увидевших зверя, ""сбрасывают со своры"", то есть выдергивают один конец ремня из колец ошейников, освобождая борзых для преследования зверя."
155;"Семейство";"высокопродуктивная группа животных, главным образом племенных маток, происходящая от выдающейся родоначальницы и сходных с ней по конституции и продуктивности."
156;"Скрещивание";"метод разведения, при котором спаривают собак, принадлежащих к разным породам. Применяют для создания новой породы, несущей признаки обеих родительских пород, либо для улучшения уже существующей породы (прилития свежей крови к породе, которой грозит вырождение вследствие вынужденного длительного инбридинга). Без специального отбора при скрещивании получаются метисы, не имеющие племенной ценности."
157;"Смычок";"1. Пара гончих, приученных к совместной охоте; подбирают чаще всего кобеля и суку, с учетом сочетания голосов. 2. Соединенные между собой ошейники для такой пары гончих."
158;"Снукер";"одна из игровых дисциплин аджилити. Препятствиям присваиваются цвета или номера и спортсмен сам выбирает последовательность прохождения трассы, в соответсвии с правилами следования цветов. Время прохождения трассы ограничено по времени."
159;"Стандарт породы";"ряд требований к экстерьеру и характеру собак, соответствие которым оценивается экспертами на выставочном ринге. В стандарт входят размеры, общий вид, окрас, характерные стати, отдельные черты телосложения. Собак, не соответствующих стандарту породы, в племенной работе не используют."
160;"Стать";"часть тела собаки. По статям судят о здоровье, выносливости, крепости телосложения, половой и породной выраженности и о служебной и племенной ценности животного."
161;"Стая";"группа гончих собак, содержащихся и работающих вместе. Стаю подбирают по рабочим качествам и по голосам: музыка ""залившейся по следу"" стаи высоко ценилась охотниками всех времен. В стае может быть до 20 смычков."
162;"Техника дрессировки";"способ воздействия на собаку соответствующими раздражителями  при выработке условного рефлекса."
163;"Той";"приставка к названию породы для обозначения самых мелких, ""игрушечных"" разновидностей пород, например той-терьер, той-пудель и т. п."
164;"Тримминг ";"выщипывание отмершей шерсти для придания традиционной формы шерстному покрову собак жесткошерстных пород, предусмотренной стандартом данной породы. Часто сочетается со стрижкой отдельных участков."
165;"УГС";"(управляемая городская собака) курс дрессуры на собаку-компаньона в условиях города."
166;"Фенотип";"совокупность признаков и свойств собаки, формирующихся в процессе взаимодействия ее генетической структуры (генотипа) и внешней среды. В фенотипе не реализуются все генетические возможности, он является лишь частным случае реализации генотипа в конкретных условиях. При разведении собак отбор по фенотипу проводится опосредованно к отбору по генотипу."
167;"Формат";"соотношение длины туловища с ростом собаки. Говорят о квадратном формате (при равенстве этих показателей, т.е. индекс формата равен 100) или о растянутом (индекс более 100), когда длина туловища превышает рост (как у такс или бассетов), а так же укороченным (индекс менее 100)."
168;"Фрисби";"вид собачьих состязаний где собака должна поймать летающую тарелку, брошенную хозяином."
169;"Хвост выдровой";"толстый у основания и суживающийся к концу; в сечении круглый; с пробором, разделяющим шерсть на нижней стороне."
170;"Хендлер";"(от англ. handler) - человек, который проводит собаку перед судьями на выставке."
171;"Шаг";"медленный аллюр, при котором тело всегда опирается одновременно на три конечности; при этом ноги отрываются от земли в определенном порядке; левая передняя - правая задняя - правая передняя - левая задняя."
172;"Шлейка";"специальное приспособление, используемое для управления собакой длинным поводком, при транспортировке крупными собаками саней, нарт, буксировке лыжника и для предохранения нежной кожи мелких собак."
173;"Эксперт";"(судья) - специалист-кинолог, имеющий официальное право оценивать собак на выставках, полевых испытаниях и состязаниях по дрессировке."
174;"Экстерьер";"внешний вид собаки, наружные формы тела в целом и отдельных его статей, свойственные данной породе и полу. Играет большую роль при отборе племенных собак."
175;"Эстафета";"это командный вид соревнований по аджилити. В эстафете участвует команда, набранная по определенному признаку или просто представляющая один спортивный клуб. Задача команды - пройти трассу с наименьшей суммой штрафных очков."
176;"AKC";"(American Kennel Club) Американский клуб собаководства.  "
177;"BIG";"(Best In Group) выставочный титул «Лучший в группе»."
178;"BIS";"(Best In Show) выставочный титул «Лучший на выставке»."
179;"CAC";"выставочный титул «Кандидат в национальные чемпионы красоты»."
180;"CACIB";"(Certificat d'Aptitude au Championnat International de Beauto) выставочный титул «Кандидат в международные чемпионы красоты»"
181;"CW";"(Class Winner) – выставочный титул «Победитель класса»."
182;"FCI";"(Federation Cynologique Internationale) – Международная кинологическая федерация."
183;"FH";"(Fahrtenhundprufung) – немецкий курс дрессуры на следовую или поисковую собаку; имеет три ступени."
184;"IPO";"(Vielseitigkeitsprufung fur Gebrauchshunde nach internat. Prufungsordnung) – международный курс дрессуры по защите с послушанием и следовой работе"
185;"K9";"американский курс дрессуры служебных собак для силовых структур, обеспечения безопасности и т.д."
186;"R.CAC";"выставочный титул «Резервный кандидат в национальные чемпионы красоты»."
187;"R.CACIB";"выставочный титул «Резервный кандидат в международные чемпионы красоты»."
188;"R.CW";"выставочный титул «Резервный победитель класса»; присуждается второй собаке в классе, получившей оценку «отлично» (по правилам РКФ)."
189;"SchH";"(Schutzhundeprufung) – курс дрессуры созданный в 20-x годах в Германии, направлен на обучение защитной собаки."
190;"UKC";"(United Kennel Club) – Объединенный Кеннел-клуб; основан в 1898 году, второй по величине клуб в США."
